"Fahrt: Name","Ausleihdauer","Kunden Gruppe"
"1405427","bis 5 min","B2B"
"1203070","bis 5 min","B2B"
"1060966","bis 5 min","B2B"
"1354917","bis 5 min","B2B"
"1405690","bis 5 min","B2B"
"1203145","bis 5 min","B2B"
"1061351","bis 5 min","B2B"
"1354971","bis 5 min","B2B"
"1405808","bis 5 min","B2B"
"1203671","bis 5 min","B2B"
"1061783","bis 5 min","B2B"
"1355129","bis 5 min","B2B"
"1406152","bis 5 min","B2B"
"1203733","bis 5 min","B2B"
"1061989","bis 5 min","B2B"
"1355170","bis 5 min","B2B"
"1406200","bis 5 min","B2B"
"1205726","bis 5 min","B2B"
"1062200","bis 5 min","B2B"
"1356806","bis 5 min","B2B"
"1407146","bis 5 min","B2B"
"1205863","bis 5 min","B2B"
"1062270","bis 5 min","B2B"
"1357122","bis 5 min","B2B"
"1407154","bis 5 min","B2B"
"1206022","bis 5 min","B2B"
"1062638","bis 5 min","B2B"
"1357510","bis 5 min","B2B"
"1407233","bis 5 min","B2B"
"1206023","bis 5 min","B2B"
"1065479","bis 5 min","B2B"
"1357882","bis 5 min","B2B"
"1407407","bis 5 min","B2B"
"1206617","bis 5 min","B2B"
"1066063","bis 5 min","B2B"
"1358056","bis 5 min","B2B"
"1408454","bis 5 min","B2B"
"1207206","bis 5 min","B2B"
"1066439","bis 5 min","B2B"
"1358541","bis 5 min","B2B"
"1408881","bis 5 min","B2B"
"1207259","bis 5 min","B2B"
"1066739","bis 5 min","B2B"
"1358785","bis 5 min","B2B"
"1409994","bis 5 min","B2B"
"1208002","bis 5 min","B2B"
"1066997","bis 5 min","B2B"
"1358834","bis 5 min","B2B"
"1410781","bis 5 min","B2B"
"1208080","bis 5 min","B2B"
"1067211","bis 5 min","B2B"
"1359281","bis 5 min","B2B"
"1411389","bis 5 min","B2B"
"1210205","bis 5 min","B2B"
"1068252","bis 5 min","B2B"
"1359373","bis 5 min","B2B"
"1411487","bis 5 min","B2B"
"1211672","bis 5 min","B2B"
"1068405","bis 5 min","B2B"
"1360305","bis 5 min","B2B"
"1411742","bis 5 min","B2B"
"1211819","bis 5 min","B2B"
"1068566","bis 5 min","B2B"
"1361465","bis 5 min","B2B"
"1417834","bis 5 min","B2B"
"1212965","bis 5 min","B2B"
"1069204","bis 5 min","B2B"
"1361633","bis 5 min","B2B"
"1418383","bis 5 min","B2B"
"1212969","bis 5 min","B2B"
"1071368","bis 5 min","B2B"
"1361820","bis 5 min","B2B"
"1418615","bis 5 min","B2B"
"1213296","bis 5 min","B2B"
"1071598","bis 5 min","B2B"
"1361958","bis 5 min","B2B"
"1418672","bis 5 min","B2B"
"1213466","bis 5 min","B2B"
"1072303","bis 5 min","B2B"
"1362100","bis 5 min","B2B"
"1418920","bis 5 min","B2B"
"1213545","bis 5 min","B2B"
"1072926","bis 5 min","B2B"
"1364793","bis 5 min","B2B"
"1420207","bis 5 min","B2B"
"1213672","bis 5 min","B2B"
"1073391","bis 5 min","B2B"
"1364798","bis 5 min","B2B"
"1420228","bis 5 min","B2B"
"1213872","bis 5 min","B2B"
"1073691","bis 5 min","B2B"
"1365770","bis 5 min","B2B"
"1420271","bis 5 min","B2B"
"1215479","bis 5 min","B2B"
"1074652","bis 5 min","B2B"
"1365892","bis 5 min","B2B"
"1422389","bis 5 min","B2B"
"1216442","bis 5 min","B2B"
"1075140","bis 5 min","B2B"
"1366311","bis 5 min","B2B"
"1422699","bis 5 min","B2B"
"1217349","bis 5 min","B2B"
"1075810","bis 5 min","B2B"
"1367039","bis 5 min","B2B"
"1423924","bis 5 min","B2B"
"1218004","bis 5 min","B2B"
