"Fahrt: Name","Ende Wochentag"
"1109229","1 Montag"
"1985112","1 Montag"
"1109306","1 Montag"
"1985234","1 Montag"
"1109932","1 Montag"
"1985252","1 Montag"
"1110070","1 Montag"
"1985281","1 Montag"
"1110328","1 Montag"
"1985294","1 Montag"
"1110429","1 Montag"
"2067939","1 Montag"
"1110465","1 Montag"
"2067965","1 Montag"
"1110472","1 Montag"
"2067981","1 Montag"
"1110474","1 Montag"
"2068024","1 Montag"
"1110538","1 Montag"
"2069093","1 Montag"
"1110639","1 Montag"
"2069158","1 Montag"
"1110936","1 Montag"
"2069338","1 Montag"
"1111153","1 Montag"
"2069761","1 Montag"
"1111319","1 Montag"
"2069881","1 Montag"
"1111369","1 Montag"
"2070042","1 Montag"
"1111844","1 Montag"
"2070230","1 Montag"
"1111965","1 Montag"
"2070307","1 Montag"
"1334612","1 Montag"
"2070535","1 Montag"
"1334714","1 Montag"
"2070788","1 Montag"
"1334872","1 Montag"
"2070908","1 Montag"
"1335049","1 Montag"
"2071092","1 Montag"
"1335050","1 Montag"
"2071583","1 Montag"
"1335248","1 Montag"
"2071997","1 Montag"
"1335455","1 Montag"
"2072167","1 Montag"
"1335489","1 Montag"
"2072248","1 Montag"
"1335646","1 Montag"
"2072720","1 Montag"
"1335749","1 Montag"
"2072775","1 Montag"
"1335782","1 Montag"
"2073037","1 Montag"
"1335957","1 Montag"
"2073048","1 Montag"
"1336010","1 Montag"
"2073525","1 Montag"
"1336394","1 Montag"
"2074537","1 Montag"
"1336634","1 Montag"
"2074544","1 Montag"
"1336664","1 Montag"
"2075029","1 Montag"
"1336814","1 Montag"
"2075331","1 Montag"
"1336872","1 Montag"
"2075534","1 Montag"
"1336907","1 Montag"
"2075629","1 Montag"
"1337013","1 Montag"
"2075816","1 Montag"
"1337015","1 Montag"
"2075904","1 Montag"
"1337151","1 Montag"
"2076135","1 Montag"
"1337194","1 Montag"
"2076178","1 Montag"
"1337197","1 Montag"
"2076190","1 Montag"
"1337263","1 Montag"
"2076698","1 Montag"
"1337356","1 Montag"
"2076907","1 Montag"
"1337401","1 Montag"
"2077171","1 Montag"
"1337413","1 Montag"
"2077206","1 Montag"
