"Fahrt: Name","Zugangsmedium Typ"
"1078315","Phone"
"2265174","Phone"
"1079198","Phone"
"2265213","Phone"
"1079697","Phone"
"2265591","Phone"
"1079965","Phone"
"2265592","Phone"
"1080276","Phone"
"2265883","Phone"
"1080726","Phone"
"2265923","Phone"
"1080761","Phone"
"2266008","Phone"
"1081310","Phone"
"2266018","Phone"
"1081518","Phone"
"2266193","Phone"
"1082135","Phone"
"2266493","Phone"
"1083470","Phone"
"2266758","Phone"
"1084701","Phone"
"2266884","Phone"
"1084775","Phone"
"2267185","Phone"
"1084813","Phone"
"2267358","Phone"
"1085985","Phone"
"2267566","Phone"
"1086982","Phone"
"2267582","Phone"
"1088644","Phone"
"2267833","Phone"
"1089328","Phone"
"2268022","Phone"
"1089524","Phone"
"2268377","Phone"
"1089605","Phone"
"2268549","Phone"
"1090514","Phone"
"2268638","Phone"
"1091161","Phone"
"2269289","Phone"
"1091837","Phone"
"2269336","Phone"
"1092465","Phone"
"2269953","Phone"
"1092786","Phone"
"2270324","Phone"
"1092930","Phone"
"2270382","Phone"
"1093685","Phone"
"2270752","Phone"
"1093767","Phone"
"2270784","Phone"
"1094252","Phone"
"2271428","Phone"
"1094695","Phone"
"2271470","Phone"
"1095360","Phone"
"2271472","Phone"
"1095747","Phone"
"2271532","Phone"
"1096889","Phone"
"2271565","Phone"
"1097814","Phone"
"2271614","Phone"
"1097848","Phone"
"2271662","Phone"
"1098553","Phone"
"2271781","Phone"
"1098905","Phone"
"2271895","Phone"
"1099447","Phone"
"2271939","Phone"
"1099609","Phone"
"2272024","Phone"
"1099650","Phone"
"2272387","Phone"
"1099924","Phone"
"2272633","Phone"
"1099930","Phone"
"2272914","Phone"
"1101164","Phone"
"2272919","Phone"
"1101528","Phone"
"2273008","Phone"
"1101673","Phone"
"2273148","Phone"
"1101801","Phone"
"2273279","Phone"
"1102763","Phone"
"2273284","Phone"
"1102804","Phone"
"2273366","Phone"
"1103268","Phone"
"2273402","Phone"
"1103766","Phone"
"2273424","Phone"
"1104170","Phone"
"2273428","Phone"
"1104214","Phone"
"2273435","Phone"
"1104920","Phone"
"2273503","Phone"
"1106141","Phone"
"2273693","Phone"
"1106681","Phone"
"2273698","Phone"
"1106711","Phone"
"2274101","Phone"
"1107401","Phone"
"2274450","Phone"
"1107420","Phone"
"2275145","Phone"
"1107865","Phone"
"2275618","Phone"
"1107945","Phone"
"2276848","Phone"
"1108578","Phone"
"2277078","Phone"
"1108919","Phone"
"2277740","Phone"
"1109073","Phone"
"2278054","Phone"
"1109229","Phone"
"2278310","Phone"
"1110538","Phone"
"2278495","Phone"
"1110639","Phone"
"2278496","Phone"
"1111153","Phone"
"2278881","Phone"
"1111965","Phone"
"2279415","Phone"
"1112171","Phone"
"2279472","Phone"
"1112322","Phone"
"2279985","Phone"
"1112792","Phone"
"2280105","Phone"
"1114106","Phone"
"2280274","Phone"
"1114205","Phone"
"2281098","Phone"
"1116812","Phone"
"2281242","Phone"
"1119324","Phone"
"2281376","Phone"
"1120297","Phone"
"2281661","Phone"
"1120354","Phone"
"2281809","Phone"
"1120761","Phone"
"2281933","Phone"
"1121496","Phone"
"2282031","Phone"
"1121603","Phone"
"2282087","Phone"
"1121890","Phone"
"2282712","Phone"
"1122234","Phone"
"2282802","Phone"
"1122393","Phone"
"2283167","Phone"
"1122575","Phone"
"2283195","Phone"
"1122859","Phone"
"2283415","Phone"
"1123087","Phone"
"2283536","Phone"
"1123509","Phone"
"2283660","Phone"
"1123978","Phone"
"2284241","Phone"
"1124424","Phone"
"2284920","Phone"
"1124721","Phone"
"2285433","Phone"
"1125309","Phone"
"2285439","Phone"
"1125840","Phone"
"2285616","Phone"
"1126270","Phone"
"2285622","Phone"
"1126356","Phone"
"2285681","Phone"
"1126464","Phone"
"2285685","Phone"
"1127593","Phone"
"2286107","Phone"
"1127917","Phone"
"2286289","Phone"
"1128055","Phone"
"2286394","Phone"
"1129342","Phone"
"2286537","Phone"
"1129700","Phone"
"2286543","Phone"
"1129787","Phone"
"2286639","Phone"
"1315562","Phone"
"2286642","Phone"
"1315678","Phone"
"2286646","Phone"
"1315686","Phone"
"2286746","Phone"
"1315914","Phone"
"2286753","Phone"
"1316181","Phone"
"2286810","Phone"
"1316744","Phone"
"2286925","Phone"
