"Fahrt: Name","Ende - Stunde","Ende Wochentag"
"2181086","00","3 Mittwoch"
"1912137","00","3 Mittwoch"
"2092954","00","3 Mittwoch"
"2181088","00","3 Mittwoch"
"1912141","00","3 Mittwoch"
"2093027","00","3 Mittwoch"
"2260294","00","3 Mittwoch"
"1912145","00","3 Mittwoch"
"2180964","00","3 Mittwoch"
"2260314","00","3 Mittwoch"
"1912148","00","3 Mittwoch"
"2181072","00","3 Mittwoch"
"2260321","00","3 Mittwoch"
"1999509","00","3 Mittwoch"
"2349894","00","3 Mittwoch"
"2260323","00","3 Mittwoch"
"1999577","00","3 Mittwoch"
"2427104","00","3 Mittwoch"
"2427103","00","3 Mittwoch"
"2093034","00","3 Mittwoch"
"2427128","00","3 Mittwoch"
"2427126","00","3 Mittwoch"
"2180979","00","3 Mittwoch"
"2580258","00","3 Mittwoch"
"2580302","00","3 Mittwoch"
"2181075","00","3 Mittwoch"
"2655605","00","3 Mittwoch"
"2580336","00","3 Mittwoch"
"2181104","00","3 Mittwoch"
"2655606","00","3 Mittwoch"
"2655612","00","3 Mittwoch"
"2260177","00","3 Mittwoch"
"2745592","00","3 Mittwoch"
"2990945","00","3 Mittwoch"
"2579509","00","3 Mittwoch"
"2745595","00","3 Mittwoch"
"988939","00","3 Mittwoch"
"2580310","00","3 Mittwoch"
"2745596","00","3 Mittwoch"
"988943","00","3 Mittwoch"
"2580312","00","3 Mittwoch"
"2828145","00","3 Mittwoch"
"1214714","00","3 Mittwoch"
"2580321","00","3 Mittwoch"
"1183620","00","3 Mittwoch"
"1541710","00","3 Mittwoch"
"2580337","00","3 Mittwoch"
"1183621","00","3 Mittwoch"
"2092871","00","3 Mittwoch"
"956975","00","3 Mittwoch"
"1084701","00","3 Mittwoch"
"2092945","00","3 Mittwoch"
"988941","00","3 Mittwoch"
"1395687","00","3 Mittwoch"
"2093021","00","3 Mittwoch"
"988949","00","3 Mittwoch"
"2259950","00","3 Mittwoch"
"2180974","00","3 Mittwoch"
"1183622","00","3 Mittwoch"
"2260316","00","3 Mittwoch"
"2180990","00","3 Mittwoch"
"1183629","00","3 Mittwoch"
"2427106","00","3 Mittwoch"
"2180997","00","3 Mittwoch"
"1214710","00","3 Mittwoch"
"2427154","00","3 Mittwoch"
"2260315","00","3 Mittwoch"
"1488588","00","3 Mittwoch"
"2580257","00","3 Mittwoch"
"2260322","00","3 Mittwoch"
"1589752","00","3 Mittwoch"
"2580308","00","3 Mittwoch"
"2349872","00","3 Mittwoch"
"1589764","00","3 Mittwoch"
"2580330","00","3 Mittwoch"
"2349943","00","3 Mittwoch"
"1641782","00","3 Mittwoch"
"2655602","00","3 Mittwoch"
"2427102","00","3 Mittwoch"
"1833722","00","3 Mittwoch"
"2745584","00","3 Mittwoch"
"2580314","00","3 Mittwoch"
"1488596","00","3 Mittwoch"
"2745603","00","3 Mittwoch"
"2580318","00","3 Mittwoch"
"1641788","00","3 Mittwoch"
"2990967","00","3 Mittwoch"
"2655595","00","3 Mittwoch"
"1912113","00","3 Mittwoch"
"988940","00","3 Mittwoch"
"2655604","00","3 Mittwoch"
"1999526","00","3 Mittwoch"
"988954","00","3 Mittwoch"
"2745585","00","3 Mittwoch"
"1999552","00","3 Mittwoch"
"1999562","00","3 Mittwoch"
"2092952","00","3 Mittwoch"
"2093004","00","3 Mittwoch"
"2093008","00","3 Mittwoch"
"2093010","00","3 Mittwoch"
"2093015","00","3 Mittwoch"
"2179638","00","3 Mittwoch"
"2181047","00","3 Mittwoch"
"2181078","00","3 Mittwoch"
"2181092","00","3 Mittwoch"
"2181102","00","3 Mittwoch"
"2181115","00","3 Mittwoch"
"2260256","00","3 Mittwoch"
"2349879","00","3 Mittwoch"
"2349955","00","3 Mittwoch"
"2427108","00","3 Mittwoch"
"2427112","00","3 Mittwoch"
"2580263","00","3 Mittwoch"
"2580281","00","3 Mittwoch"
"2580319","00","3 Mittwoch"
"2745588","00","3 Mittwoch"
"2990964","00","3 Mittwoch"
"3075298","00","3 Mittwoch"
"1152189","00","3 Mittwoch"
"1183613","00","3 Mittwoch"
"1348918","00","3 Mittwoch"
"1258958","00","3 Mittwoch"
"1541712","00","3 Mittwoch"
"1912035","00","3 Mittwoch"
"1999505","00","3 Mittwoch"
"1999508","00","3 Mittwoch"
"1999528","00","3 Mittwoch"
"1999586","00","3 Mittwoch"
"2093012","00","3 Mittwoch"
"2181071","00","3 Mittwoch"
"2181090","00","3 Mittwoch"
"1776573","00","3 Mittwoch"
"1912133","00","3 Mittwoch"
"1999560","00","3 Mittwoch"
"2093005","00","3 Mittwoch"
"2093019","00","3 Mittwoch"
"2093020","00","3 Mittwoch"
"2180966","00","3 Mittwoch"
"2180975","00","3 Mittwoch"
"2181073","00","3 Mittwoch"
"2181089","00","3 Mittwoch"
"2181093","00","3 Mittwoch"
"2260279","00","3 Mittwoch"
"2349907","00","3 Mittwoch"
"2503629","00","3 Mittwoch"
"2503633","00","3 Mittwoch"
"2580287","00","3 Mittwoch"
"2745594","00","3 Mittwoch"
"2828119","00","3 Mittwoch"
"2828167","00","3 Mittwoch"
"1084694","00","3 Mittwoch"
"1641775","00","3 Mittwoch"
"1776563","00","3 Mittwoch"
"1776568","00","3 Mittwoch"
"1833721","00","3 Mittwoch"
"1912125","00","3 Mittwoch"
"1999540","00","3 Mittwoch"
"1999553","00","3 Mittwoch"
"1999572","00","3 Mittwoch"
"2092975","00","3 Mittwoch"
"2093009","00","3 Mittwoch"
"2093014","00","3 Mittwoch"
"2181094","00","3 Mittwoch"
"2181096","00","3 Mittwoch"
"2181097","00","3 Mittwoch"
"2181107","00","3 Mittwoch"
"2349931","00","3 Mittwoch"
"2349937","00","3 Mittwoch"
"2427150","00","3 Mittwoch"
"2580309","00","3 Mittwoch"
"2580311","00","3 Mittwoch"
"2745495","00","3 Mittwoch"
"2828118","00","3 Mittwoch"
"1597842","00","4 Donnerstag"
"2364301","00","4 Donnerstag"
"1011821","00","4 Donnerstag"
"1652012","00","4 Donnerstag"
"2512970","00","4 Donnerstag"
"1029946","00","4 Donnerstag"
"1717544","00","4 Donnerstag"
"2593585","00","4 Donnerstag"
"1044835","00","4 Donnerstag"
"1717652","00","4 Donnerstag"
"2668862","00","4 Donnerstag"
"1652015","00","4 Donnerstag"
"1717754","00","4 Donnerstag"
"2911399","00","4 Donnerstag"
"1652021","00","4 Donnerstag"
"1788484","00","4 Donnerstag"
"3004905","00","4 Donnerstag"
"1717590","00","4 Donnerstag"
"1788593","00","4 Donnerstag"
"3004930","00","4 Donnerstag"
"1717614","00","4 Donnerstag"
"1926522","00","4 Donnerstag"
"3087140","00","4 Donnerstag"
"1717638","00","4 Donnerstag"
"1926573","00","4 Donnerstag"
"1029893","00","4 Donnerstag"
"1926565","00","4 Donnerstag"
"2014839","00","4 Donnerstag"
"1029934","00","4 Donnerstag"
"1926574","00","4 Donnerstag"
"2014914","00","4 Donnerstag"
"1545386","00","4 Donnerstag"
"1926604","00","4 Donnerstag"
"2105788","00","4 Donnerstag"
"1652003","00","4 Donnerstag"
"2014844","00","4 Donnerstag"
"2194307","00","4 Donnerstag"
"1652034","00","4 Donnerstag"
"2105864","00","4 Donnerstag"
"2364300","00","4 Donnerstag"
"1652049","00","4 Donnerstag"
"2105872","00","4 Donnerstag"
"2438640","00","4 Donnerstag"
"1717621","00","4 Donnerstag"
"2364306","00","4 Donnerstag"
"2439934","00","4 Donnerstag"
"1717651","00","4 Donnerstag"
"2439700","00","4 Donnerstag"
"2440263","00","4 Donnerstag"
"1717696","00","4 Donnerstag"
"2593541","00","4 Donnerstag"
"2512931","00","4 Donnerstag"
"1717736","00","4 Donnerstag"
"2759209","00","4 Donnerstag"
"2593520","00","4 Donnerstag"
"1788491","00","4 Donnerstag"
"2759251","00","4 Donnerstag"
"2593554","00","4 Donnerstag"
"1788599","00","4 Donnerstag"
"2841602","00","4 Donnerstag"
"2668865","00","4 Donnerstag"
"1842990","00","4 Donnerstag"
"2841646","00","4 Donnerstag"
"2668919","00","4 Donnerstag"
"1842993","00","4 Donnerstag"
"2911400","00","4 Donnerstag"
"2759090","00","4 Donnerstag"
"1926451","00","4 Donnerstag"
"1926476","00","4 Donnerstag"
"2759206","00","4 Donnerstag"
"1926602","00","4 Donnerstag"
"1926518","00","4 Donnerstag"
"2759258","00","4 Donnerstag"
"1926603","00","4 Donnerstag"
"1926600","00","4 Donnerstag"
"2841541","00","4 Donnerstag"
"1926613","00","4 Donnerstag"
"1926605","00","4 Donnerstag"
"2841631","00","4 Donnerstag"
"2014802","00","4 Donnerstag"
"1926607","00","4 Donnerstag"
"1188662","00","4 Donnerstag"
"2014811","00","4 Donnerstag"
"1926612","00","4 Donnerstag"
"1188664","00","4 Donnerstag"
"2014813","00","4 Donnerstag"
"2014784","00","4 Donnerstag"
"1090028","00","4 Donnerstag"
"2194320","00","4 Donnerstag"
"2014832","00","4 Donnerstag"
"1265711","00","4 Donnerstag"
"2274090","00","4 Donnerstag"
"2014840","00","4 Donnerstag"
"1404362","00","4 Donnerstag"
"2364260","00","4 Donnerstag"
"2014853","00","4 Donnerstag"
"1652035","00","4 Donnerstag"
"2512982","00","4 Donnerstag"
"2014901","00","4 Donnerstag"
"1652039","00","4 Donnerstag"
"2593551","00","4 Donnerstag"
"2014942","00","4 Donnerstag"
"1652061","00","4 Donnerstag"
"2668928","00","4 Donnerstag"
"2105791","00","4 Donnerstag"
"1717464","00","4 Donnerstag"
"2759265","00","4 Donnerstag"
"2105817","00","4 Donnerstag"
"1717488","00","4 Donnerstag"
"2841537","00","4 Donnerstag"
"2274139","00","4 Donnerstag"
"1717545","00","4 Donnerstag"
"2911407","00","4 Donnerstag"
"2274141","00","4 Donnerstag"
"1717586","00","4 Donnerstag"
"1029947","00","4 Donnerstag"
"2364349","00","4 Donnerstag"
"1717653","00","4 Donnerstag"
"1717665","00","4 Donnerstag"
"2439775","00","4 Donnerstag"
"1926568","00","4 Donnerstag"
"1717771","00","4 Donnerstag"
"2439860","00","4 Donnerstag"
"1926592","00","4 Donnerstag"
"1788486","00","4 Donnerstag"
"2593528","00","4 Donnerstag"
"1926595","00","4 Donnerstag"
"1788594","00","4 Donnerstag"
"2593617","00","4 Donnerstag"
"2014902","00","4 Donnerstag"
"1788600","00","4 Donnerstag"
"1788602","00","4 Donnerstag"
"1926519","00","4 Donnerstag"
"1926523","00","4 Donnerstag"
"1926590","00","4 Donnerstag"
"1926591","00","4 Donnerstag"
"1926608","00","4 Donnerstag"
