Date,PLZ From Id,PLZ From Name,Count
2019-05-27,6482,Gurtnellen,22
2019-05-27,8302,Kloten,88
2019-05-27,6865,Mendrisio,55
2019-05-27,6652,Terre di Pedemonte,21
2019-05-27,6343,Risch,23
2019-05-27,6528,Bellinzona,601
2019-05-27,6990,Agno,281
2019-05-27,6565,Mesocco,86
2019-05-27,8810,Horgen,25
2019-05-27,6926,Collina d'Oro,793
2019-05-27,6852,Mendrisio,531
2019-05-27,8048,Zürich,46
2019-05-27,4053,Basel,42
2019-05-27,6833,Vacallo,1059
2019-05-27,6677,Maggia,50
2019-05-27,6995,Croglio,231
2019-05-27,6375,Beckenried,52
2019-05-27,6955,Capriasca,348
2019-05-27,9444,Diepoldsau,43
2019-05-27,6958,Capriasca,178
2019-05-27,6919,Collina d'Oro,86
2019-05-27,8800,Thalwil,26
2019-05-27,6780,Airolo,150
2019-05-27,6862,Mendrisio,4219
2019-05-27,6518,Bellinzona,93
2019-05-27,6967,Lugano,29
2019-05-27,6593,Cadenazzo,768
2019-05-27,8008,Zürich,28
2019-05-27,6763,Faido,36
2019-05-27,6573,Gambarogno,73
2019-05-27,4054,Basel,22
2019-05-27,6837,Breggia,47
2019-05-27,6978,Lugano,134
2019-05-27,6946,Ponte Capriasca,501
2019-05-27,6935,Bioggio,103
2019-05-27,6827,Brusino Arsizio,126
2019-05-27,6805,Mezzovico-Vira,989
2019-05-27,6005,Horw Luzern,93
2019-05-27,6988,Ponte Tresa,527
2019-05-27,6514,Bellinzona,247
2019-05-27,6533,Lumino,126
2019-05-27,6716,Acquarossa,32
2019-05-27,6592,Sant'Antonino,1084
2019-05-27,8004,Zürich,139
2019-05-27,6982,Agno,4060
2019-05-27,6950,Capriasca,186
2019-05-27,6524,Bellinzona,31
2019-05-27,6922,Morcote,330
2019-05-27,6203,Neuenkirch,22
2019-05-27,6454,Flüelen,49
2019-05-27,9451,Oberriet (SG),23
2019-05-27,6052,Hergiswil (NW),36
2019-05-27,6422,Steinen,22
2019-05-27,6598,Tenero-Contra,222
2019-05-27,6916,Grancia,1379
2019-05-27,6959,Lugano,131
2019-05-27,6927,Collina d'Oro,228
2019-05-27,6705,Riviera,40
2019-05-27,4127,Birsfelden,39
2019-05-27,6403,Küssnacht (SZ),23
2019-05-27,6937,Alto Malcantone,115
2019-05-27,8152,Opfikon,21
2019-05-27,6532,Arbedo-Castione,572
2019-05-27,6991,Neggio,98
2019-05-27,6525,Bellinzona,58
2019-05-27,6048,Horw,33
2019-05-27,6742,Pollegio,82
2019-05-27,6572,Gambarogno,195
2019-05-27,6613,Ronco sopra Ascona,77
2019-05-27,6500,Bellinzona,3422
2019-05-27,6815,Melide,1230
2019-05-27,6866,Mendrisio,45
2019-05-27,7438,Hinterrhein,28
2019-05-27,6340,Baar Neuheim,34
2019-05-27,6460,Altdorf (UR),51
2019-05-27,6834,Morbio Inferiore,610
2019-05-27,6004,Luzern,123
2019-05-27,6710,Biasca,567
2019-05-27,6989,Croglio,222
