Date,District From Id,District From Name,Count
2019-06-01,1303,Liestal,277
2019-06-01,107,Meilen,112
2019-06-01,242,Biel/Bienne,71
2019-06-01,4,Uri,1309
2019-06-01,506,Schwyz,258
2019-06-01,1004,La Sarine,33
2019-06-01,1902,Baden,167
2019-06-01,501,Einsiedeln,30
2019-06-01,111,Dietikon,144
2019-06-01,1848,Plessur,158
2019-06-01,2106,Mendrisio,40049
2019-06-01,-1,Other,354
2019-06-02,101,Affoltern,89
2019-06-02,1850,Surselva,136
2019-06-02,2104,Locarno,4432
2019-06-02,1728,Wil,46
2019-06-02,247,Thun,37
2019-06-02,1305,Waldenburg,35
2019-06-02,24,Neuchâtel,41
2019-06-02,1724,Werdenberg,680
2019-06-02,1904,Brugg,26
2019-06-02,25,Genève,44
2019-06-02,504,Küssnacht (SZ),46
2019-06-02,110,Winterthur,104
2019-06-02,1907,Lenzburg,30
2019-06-02,2301,Brig,94
2019-06-02,1847,Moesa,1153
2019-06-02,2105,Lugano,41350
2019-06-02,1911,Zurzach,42
2019-06-02,106,Horgen,147
2019-06-02,2103,Leventina,2507
2019-06-02,243,Seeland,25
2019-06-02,1405,Stein,23
2019-06-02,312,Luzern-Land,201
2019-06-02,2011,Arbon,84
2019-06-02,6,Obwalden,168
2019-06-02,2307,Martigny,21
2019-06-02,102,Andelfingen,56
2019-06-02,1723,Rheintal,286
2019-06-02,2015,Weinfelden,51
2019-06-02,1910,Zofingen,76
2019-06-02,1106,Wasseramt,21
2019-06-02,1402,Reiat,136
2019-06-02,1851,Viamala,427
2019-06-02,9,Zug,207
2019-06-02,109,Uster,74
2019-06-02,1842,Bernina,59
2019-06-02,2108,Vallemaggia,403
2019-06-02,2304,Goms,21
2019-06-02,503,Höfe,65
2019-06-02,105,Hinwil,55
2019-06-02,244,Oberaargau,45
2019-06-02,311,Luzern-Stadt,497
2019-06-02,1846,Maloja,99
2019-06-02,1906,Laufenburg,37
2019-06-02,1301,Arlesheim,331
2019-06-02,2225,Lausanne,29
2019-06-02,1403,Schaffhausen,141
2019-06-02,12,Basel-Stadt,1393
2019-06-02,313,Hochdorf,133
2019-06-02,1107,Lebern,21
2019-06-02,7,Nidwalden,217
2019-06-02,1722,Rorschach,32
2019-06-02,245,Emmental,26
2019-06-02,103,Bülach,148
2019-06-02,1909,Rheinfelden,67
2019-06-02,108,Pfäffikon,48
2019-06-02,1841,Albula,57
2019-06-02,2101,Bellinzona,6513
2019-06-02,1726,See-Gaster,148
2019-06-02,505,March,53
2019-06-02,241,Jura bernois,21
2019-06-02,1304,Sissach,86
2019-06-02,2107,Riviera,513
2019-06-02,1905,Kulm,21
2019-06-02,112,Zürich,1109
2019-06-02,1845,Landquart,143
2019-06-02,2012,Frauenfeld,57
2019-06-02,1901,Aarau,74
2019-06-02,1404,Schleitheim,28
2019-06-02,1849,Prättigau/Davos,35
2019-06-02,314,Sursee,262
2019-06-02,2013,Kreuzlingen,90
2019-06-02,250,Interlaken-Oberhasli,204
2019-06-02,1844,Imboden,76
2019-06-02,104,Dielsdorf,61
2019-06-02,2226,Lavaux-Oron,25
2019-06-02,1108,Olten,129
2019-06-02,1721,St. Gallen,84
2019-06-02,1903,Bremgarten,61
2019-06-02,1101,Gäu,52
2019-06-02,8,Glarus,43
2019-06-02,246,Bern-Mittelland,129
2019-06-02,1908,Muri,35
2019-06-02,2102,Blenio,761
2019-06-02,315,Willisau,31
2019-06-02,1725,Sarganserland,161
2019-06-02,1303,Liestal,281
2019-06-02,107,Meilen,65
2019-06-02,242,Biel/Bienne,56
2019-06-02,4,Uri,975
2019-06-02,506,Schwyz,205
2019-06-02,1004,La Sarine,34
2019-06-02,1902,Baden,130
2019-06-02,111,Dietikon,91
2019-06-02,1848,Plessur,107
2019-06-02,2106,Mendrisio,59187
2019-06-02,-1,Other,469
2019-06-03,101,Affoltern,71
2019-06-03,249,Frutigen-Niedersimmental,24
2019-06-03,1850,Surselva,53
2019-06-03,2104,Locarno,4243
2019-06-03,2014,Münchwilen,41
2019-06-03,1728,Wil,43
2019-06-03,247,Thun,32
2019-06-03,1305,Waldenburg,32
2019-06-03,24,Neuchâtel,55
