Date,Canton From Id,Canton From Name,Count
2019-06-07,5,Schwyz,650
2019-06-07,10,Fribourg,111
2019-06-07,24,Neuchâtel,70
2019-06-07,25,Genève,117
2019-06-07,14,Schaffhausen,1008
2019-06-07,20,Thurgau,612
2019-06-07,1,Zürich,5364
2019-06-07,6,Obwalden,115
2019-06-07,21,Ticino,93993
2019-06-07,9,Zug,590
2019-06-07,13,Basel-Landschaft,1183
2019-06-07,2,Bern,817
2019-06-07,17,St. Gallen,4005
2019-06-07,22,Vaud,193
2019-06-07,12,Basel-Stadt,2171
2019-06-07,7,Nidwalden,249
2019-06-07,3,Luzern,1495
2019-06-07,18,Graubünden,2913
2019-06-07,16,Appenzell Innerrhoden,22
2019-06-07,11,Solothurn,516
2019-06-07,26,Jura,75
2019-06-07,23,Valais,188
2019-06-07,8,Glarus,130
2019-06-07,19,Aargau,1145
2019-06-07,4,Uri,2986
2019-06-07,15,Appenzell Ausserrhoden,79
2019-06-07,-1,Other,13
2019-06-08,5,Schwyz,604
2019-06-08,10,Fribourg,71
2019-06-08,24,Neuchâtel,35
2019-06-08,25,Genève,59
2019-06-08,14,Schaffhausen,1801
2019-06-08,20,Thurgau,876
2019-06-08,1,Zürich,3859
2019-06-08,6,Obwalden,135
2019-06-08,21,Ticino,88650
2019-06-08,9,Zug,391
2019-06-08,13,Basel-Landschaft,1324
2019-06-08,2,Bern,506
2019-06-08,17,St. Gallen,5955
2019-06-08,22,Vaud,121
2019-06-08,12,Basel-Stadt,2261
2019-06-08,7,Nidwalden,223
2019-06-08,3,Luzern,1238
2019-06-08,18,Graubünden,6760
2019-06-08,16,Appenzell Innerrhoden,23
2019-06-08,11,Solothurn,374
2019-06-08,23,Valais,285
2019-06-08,8,Glarus,89
2019-06-08,19,Aargau,1149
2019-06-08,4,Uri,8902
2019-06-08,15,Appenzell Ausserrhoden,52
2019-06-08,-1,Other,30
2019-06-09,5,Schwyz,652
2019-06-09,10,Fribourg,58
2019-06-09,24,Neuchâtel,25
2019-06-09,25,Genève,54
2019-06-09,14,Schaffhausen,1397
2019-06-09,20,Thurgau,529
2019-06-09,1,Zürich,2685
2019-06-09,6,Obwalden,173
2019-06-09,21,Ticino,79110
2019-06-09,9,Zug,347
2019-06-09,13,Basel-Landschaft,1522
2019-06-09,2,Bern,570
2019-06-09,17,St. Gallen,3972
2019-06-09,22,Vaud,123
2019-06-09,12,Basel-Stadt,2280
2019-06-09,7,Nidwalden,225
2019-06-09,3,Luzern,1217
2019-06-09,18,Graubünden,3152
2019-06-09,11,Solothurn,298
2019-06-09,23,Valais,148
2019-06-09,8,Glarus,69
2019-06-09,19,Aargau,869
2019-06-09,4,Uri,3391
2019-06-09,15,Appenzell Ausserrhoden,26
2019-06-09,-1,Other,31
2019-06-10,5,Schwyz,422
2019-06-10,10,Fribourg,45
2019-06-10,24,Neuchâtel,43
2019-06-10,25,Genève,54
2019-06-10,14,Schaffhausen,715
2019-06-10,20,Thurgau,166
2019-06-10,1,Zürich,1911
2019-06-10,6,Obwalden,113
2019-06-10,21,Ticino,80264
2019-06-10,9,Zug,388
2019-06-10,13,Basel-Landschaft,750
2019-06-10,2,Bern,476
2019-06-10,17,St. Gallen,1664
2019-06-10,22,Vaud,112
2019-06-10,12,Basel-Stadt,1367
2019-06-10,7,Nidwalden,152
2019-06-10,3,Luzern,953
2019-06-10,18,Graubünden,1915
2019-06-10,11,Solothurn,195
2019-06-10,26,Jura,23
2019-06-10,23,Valais,190
2019-06-10,8,Glarus,33
2019-06-10,19,Aargau,497
2019-06-10,4,Uri,832
2019-06-10,-1,Other,42
2019-06-11,5,Schwyz,429
2019-06-11,10,Fribourg,29
2019-06-11,25,Genève,28
2019-06-11,14,Schaffhausen,393
2019-06-11,20,Thurgau,179
2019-06-11,1,Zürich,1989
2019-06-11,6,Obwalden,106
2019-06-11,21,Ticino,87082
2019-06-11,9,Zug,279
2019-06-11,13,Basel-Landschaft,559
2019-06-11,2,Bern,435
2019-06-11,17,St. Gallen,1069
2019-06-11,22,Vaud,66
2019-06-11,12,Basel-Stadt,912
2019-06-11,7,Nidwalden,145
2019-06-11,3,Luzern,1027
2019-06-11,18,Graubünden,1519
2019-06-11,11,Solothurn,228
2019-06-11,26,Jura,29
2019-06-11,23,Valais,86
2019-06-11,8,Glarus,22
2019-06-11,19,Aargau,505
2019-06-11,4,Uri,799
2019-06-11,-1,Other,46
2019-06-12,5,Schwyz,462
2019-06-12,10,Fribourg,40
2019-06-12,24,Neuchâtel,37
2019-06-12,25,Genève,51
2019-06-12,14,Schaffhausen,311
2019-06-12,20,Thurgau,112
2019-06-12,1,Zürich,1881
2019-06-12,6,Obwalden,105
2019-06-12,21,Ticino,83340
2019-06-12,9,Zug,290
2019-06-12,13,Basel-Landschaft,538
2019-06-12,2,Bern,432
