Date,PLZ To Id,PLZ To Name,Count
2019-05-27,6535,Roveredo (GR),199
2019-05-27,4051,Basel,43
2019-05-27,8400,Winterthur,49
2019-05-27,6644,Orselina,25
2019-05-27,6558,Lostallo,38
2019-05-27,8051,Zürich,28
2019-05-27,8002,Zürich,59
2019-05-27,6612,Ascona,445
2019-05-27,6929,Gravesano,973
2019-05-27,6537,Grono,69
2019-05-27,6503,Bellinzona,125
2019-05-27,6874,Castel San Pietro,236
2019-05-27,2502,Biel/Bienne,28
2019-05-27,6807,Torricella-Taverne,1387
2019-05-27,6595,Lavertezzo,273
2019-05-27,6452,Riemenstalden Sisikon,31
2019-05-27,7430,Rongellen Thusis,40
2019-05-27,6864,Mendrisio,377
2019-05-27,7310,Bad Ragaz,24
2019-05-27,6984,Pura,526
2019-05-27,8006,Zürich,54
2019-05-27,6810,Isone,49
2019-05-27,8055,Zürich,25
2019-05-27,4056,Basel,414
2019-05-27,6839,Breggia,266
2019-05-27,-1,Other,5226
2019-05-28,7304,Maienfeld,48
2019-05-28,6979,Lugano,101
2019-05-28,6855,Stabio,2349
2019-05-28,6512,Bellinzona,1499
2019-05-28,6986,Curio Miglieglia Novaggio,356
2019-05-28,6954,Capriasca,346
2019-05-28,6527,Riviera,109
2019-05-28,8200,Schaffhausen,26
2019-05-28,6808,Torricella-Taverne,165
2019-05-28,8005,Zürich,183
2019-05-28,6918,Lugano,426
2019-05-28,6883,Novazzano,1079
2019-05-28,6744,Personico,71
2019-05-28,6776,Quinto,238
2019-05-28,6830,Chiasso,8269
2019-05-28,9469,Sennwald,27
2019-05-28,8045,Zürich,26
2019-05-28,6764,Faido,58
2019-05-28,6939,Alto Malcantone,203
2019-05-28,6515,Bellinzona,58
2019-05-28,4058,Basel,36
2019-05-28,6804,Monteceneri,323
2019-05-28,6877,Coldrerio,1360
2019-05-28,9443,Widnau,58
2019-05-28,9476,Wartau,38
2019-05-28,6914,Lugano,201
2019-05-28,6872,Mendrisio,38
2019-05-28,6707,Riviera,21
2019-05-28,9464,Altstätten Rüthi (SG),108
2019-05-28,6987,Caslano,3178
2019-05-28,6968,Lugano,89
2019-05-28,6713,Serravalle,61
2019-05-28,6006,Luzern,45
2019-05-28,7000,Chur,77
2019-05-28,6873,Castel San Pietro,51
2019-05-28,6010,Alpnach Kriens,41
2019-05-28,4617,Gunzgen,35
2019-05-28,6951,Lugano,29
2019-05-28,6599,Cadenazzo,137
2019-05-28,6936,Cademario,82
2019-05-28,6828,Balerna,2060
2019-05-28,6487,Göschenen,77
2019-05-28,9475,Sevelen,59
2019-05-28,6594,Gambarogno,414
2019-05-28,6983,Magliaso,1381
2019-05-28,6670,Avegno Gordevio,30
2019-05-28,4600,Olten,33
2019-05-28,6523,Bellinzona,61
2019-05-28,6410,Arth Gersau,61
2019-05-28,6745,Giornico,225
2019-05-28,6534,San Vittore,154
2019-05-28,6300,Zug,112
2019-05-28,6823,Arogno,69
2019-05-28,6438,Schwyz,28
2019-05-28,6562,Soazza,34
2019-05-28,6204,Sempach,21
2019-05-28,8050,Zürich,45
2019-05-28,6809,Comunanza Cadenazzo/Montecener,97
2019-05-28,6648,Minusio,305
2019-05-28,8001,Zürich,216
2019-05-28,6947,Capriasca,118
2019-05-28,6702,Bellinzona,128
2019-05-28,6863,Mendrisio,56
2019-05-28,6616,Losone,255
2019-05-28,5012,Eppenberg-Wöschnau Schönenwerd,25
2019-05-28,6760,Faido,77
2019-05-28,6020,Emmen,22
2019-05-28,8302,Kloten,157
2019-05-28,6865,Mendrisio,53
2019-05-28,6652,Terre di Pedemonte,24
2019-05-28,6343,Risch,27
2019-05-28,6528,Bellinzona,682
2019-05-28,6990,Agno,309
2019-05-28,6565,Mesocco,71
2019-05-28,8810,Horgen,22
2019-05-28,6926,Collina d'Oro,642
2019-05-28,6852,Mendrisio,244
2019-05-28,8048,Zürich,42
2019-05-28,4053,Basel,23
2019-05-28,6556,Grono,28
2019-05-28,6833,Vacallo,4991
2019-05-28,6677,Maggia,31
2019-05-28,6995,Croglio,278
2019-05-28,6955,Capriasca,414
2019-05-28,9444,Diepoldsau,70
