Date,PLZ From Id,PLZ From Name,Count
2019-07-06,6454,Flüelen,38
2019-07-06,6598,Tenero-Contra,238
2019-07-06,6916,Grancia,1595
2019-07-06,6959,Lugano,357
2019-07-06,6927,Collina d'Oro,219
2019-07-06,6774,Dalpe,42
2019-07-06,6705,Riviera,32
2019-07-06,6937,Alto Malcantone,123
2019-07-06,6532,Arbedo-Castione,263
2019-07-06,6991,Neggio,112
2019-07-06,6525,Bellinzona,43
2019-07-06,6742,Pollegio,49
2019-07-06,6572,Gambarogno,147
2019-07-06,6613,Ronco sopra Ascona,36
2019-07-06,6500,Bellinzona,1441
2019-07-06,6815,Melide,1790
2019-07-06,6866,Mendrisio,51
2019-07-06,7438,Hinterrhein,31
2019-07-06,6340,Baar Neuheim,22
2019-07-06,6460,Altdorf (UR),21
2019-07-06,6834,Morbio Inferiore,411
2019-07-06,6004,Luzern,22
2019-07-06,6710,Biasca,342
2019-07-06,6989,Croglio,293
2019-07-06,6645,Brione sopra Minusio,47
2019-07-06,6414,Arth,29
2019-07-06,6817,Maroggia,575
2019-07-06,6802,Monteceneri,1098
2019-07-06,6956,Capriasca,181
2019-07-06,6574,Gambarogno,29
2019-07-06,6930,Bedano,1061
2019-07-06,6816,Bissone,1339
2019-07-06,6614,Brissago,55
2019-07-06,6838,Breggia,53
2019-07-06,4052,Basel,91
2019-07-06,6517,Arbedo-Castione,110
2019-07-06,6853,Mendrisio,529
2019-07-06,6806,Monteceneri,251
2019-07-06,6821,Rovio,104
2019-07-06,6998,Monteggio,654
2019-07-06,6557,Cama,25
2019-07-06,6875,Castel San Pietro,23
2019-07-06,3988,Obergoms,38
2019-07-06,6945,Origlio,985
2019-07-06,6934,Bioggio,2453
2019-07-06,6921,Vico Morcote,316
2019-07-06,6826,Riva San Vitale,721
2019-07-06,6596,Gordola,242
2019-07-06,6981,Bedigliora Croglio Curio,261
2019-07-06,6912,Lugano,151
2019-07-06,6513,Bellinzona,107
2019-07-06,4132,Muttenz,36
2019-07-06,6653,Terre di Pedemonte,22
2019-07-06,6994,Aranno,163
2019-07-06,6746,Faido,24
2019-07-06,6415,Arth,23
2019-07-06,6825,Mendrisio,394
2019-07-06,4057,Basel,38
2019-07-06,6633,Lavertezzo,60
2019-07-06,4133,Pratteln,28
2019-07-06,6803,Monteceneri,153
2019-07-06,6775,Quinto,66
2019-07-06,6917,Lugano,918
