Date,Municipality From Id,Municipality From Name,Count
2019-06-26,5161,Cademario,103
2019-06-26,5178,Croglio,694
2019-06-26,5192,Lugano,4942
2019-06-26,5227,Torricella-Taverne,2198
2019-06-26,5195,Maroggia,643
2019-06-26,5269,Breggia,161
2019-06-26,3821,Lostallo,61
2019-06-26,5064,Bodio,54
2019-06-26,5160,Brusino Arsizio,120
2019-06-26,5108,Gordola,224
2019-06-26,5199,Mezzovico-Vira,1437
2019-06-26,5193,Magliaso,1496
2019-06-26,5397,Centovalli,34
2019-06-26,3835,San Vittore,126
2019-06-26,1362,Arth,139
2019-06-26,5091,Ascona,424
2019-06-26,5077,Pollegio,54
2019-06-26,261,Zürich,507
2019-06-26,5017,Sant'Antonino,912
2019-06-26,5281,Biasca,470
2019-06-26,5206,Neggio,165
2019-06-26,5049,Blenio,107
2019-06-26,5002,Bellinzona,5897
2019-06-26,1217,Sisikon,21
2019-06-26,5266,Stabio,2503
2019-06-26,5396,Terre di Pedemonte,77
2019-06-26,3271,Buchs (SG),22
2019-06-26,5113,Locarno,1180
2019-06-26,5189,Lamone,1684
2019-06-26,3831,Cama,21
2019-06-26,5238,Monteceneri,3099
2019-06-26,5233,Vico Morcote,440
2019-06-26,5181,Curio,334
2019-06-26,5263,Riva San Vitale,1075
2019-06-26,5213,Ponte Tresa,1220
2019-06-26,1207,Flüelen,50
2019-06-26,5063,Bedretto,35
2019-06-26,5317,Maggia,70
2019-06-26,5149,Bedigliora,271
2019-06-26,3787,St. Moritz,21
2019-06-26,5112,Lavertezzo,107
2019-06-26,3834,Roveredo (GR),168
2019-06-26,5310,Cevio,31
2019-06-26,1202,Andermatt,27
2019-06-26,5198,Melide,2085
2019-06-26,5249,Castel San Pietro,435
2019-06-26,5138,Cugnasco-Gerra,135
2019-06-26,5230,Vernate,82
2019-06-26,5048,Acquarossa,105
2019-06-26,5121,Orselina,41
2019-06-26,5050,Serravalle,95
2019-06-26,5097,Brissago,75
2019-06-26,1707,Risch,29
2019-06-26,5118,Minusio,442
2019-06-26,5148,Bedano,2276
2019-06-26,5207,Novaggio,152
2019-06-26,3832,Grono,111
2019-06-26,5143,Aranno,226
2019-06-26,5212,Ponte Capriasca,1144
