Date,Municipality From Id,Municipality From Name,Count
2019-05-27,2920,Thayngen,113
2019-05-27,3722,Domat/Ems,36
2019-05-27,3823,Soazza,39
2019-05-27,5154,Bissone,672
2019-05-27,5203,Morcote,307
2019-05-27,576,Grindelwald,34
2019-05-27,5001,Arbedo-Castione,674
2019-05-27,2701,Basel,1044
2019-05-27,5186,Grancia,1379
2019-05-27,5208,Origlio,586
2019-05-27,1702,Cham,30
2019-05-27,5226,Capriasca,1982
2019-05-27,2939,Schaffhausen,68
2019-05-27,1372,Schwyz,31
2019-05-27,4671,Kreuzlingen,22
2019-05-27,5115,Losone,315
2019-05-27,1216,Silenen,21
2019-05-27,351,Bern,63
2019-05-27,5010,Lumino,125
2019-05-27,5072,Faido,250
2019-05-27,5144,Arogno,452
2019-05-27,5194,Manno,217
2019-05-27,5287,Riviera,234
2019-05-27,5187,Gravesano,953
2019-05-27,5009,Isone,61
2019-05-27,3291,Bad Ragaz,35
2019-05-27,5268,Vacallo,1003
2019-05-27,5398,Gambarogno,719
2019-05-27,3203,St. Gallen,29
2019-05-27,3822,Mesocco,148
2019-05-27,5586,Lausanne,22
2019-05-27,5251,Coldrerio,2029
2019-05-27,5200,Miglieglia,21
2019-05-27,5324,Avegno Gordevio,30
2019-05-27,1093,Neuenkirch,78
2019-05-27,5151,Bioggio,3309
2019-05-27,5061,Airolo,150
2019-05-27,5236,Collina d'Oro,1121
2019-05-27,5219,Rovio,83
2019-05-27,62,Kloten,88
2019-05-27,3901,Chur,80
2019-05-27,1331,Küssnacht (SZ),30
2019-05-27,5073,Giornico,75
2019-05-27,1069,Weggis,21
2019-05-27,-1,Other,3796
2019-05-28,1322,Freienbach,29
2019-05-28,1501,Beckenried,26
2019-05-28,1024,Emmen,57
2019-05-28,5260,Novazzano,1372
2019-05-28,5131,Tenero-Contra,266
2019-05-28,5141,Agno,4848
2019-05-28,5242,Balerna,1877
