Date,Canton To Id,Canton To Name,Count
2019-06-04,23,Valais,91
2019-06-04,8,Glarus,38
2019-06-04,19,Aargau,611
2019-06-04,4,Uri,1084
2019-06-04,15,Appenzell Ausserrhoden,28
2019-06-04,-1,Other,27
2019-06-05,5,Schwyz,457
2019-06-05,10,Fribourg,40
2019-06-05,24,Neuchâtel,38
2019-06-05,25,Genève,44
2019-06-05,14,Schaffhausen,204
2019-06-05,20,Thurgau,245
2019-06-05,1,Zürich,2035
2019-06-05,6,Obwalden,146
2019-06-05,21,Ticino,83853
2019-06-05,9,Zug,227
2019-06-05,13,Basel-Landschaft,617
2019-06-05,2,Bern,682
2019-06-05,17,St. Gallen,1189
2019-06-05,22,Vaud,106
2019-06-05,12,Basel-Stadt,1265
2019-06-05,7,Nidwalden,264
2019-06-05,3,Luzern,1299
2019-06-05,18,Graubünden,1408
2019-06-05,11,Solothurn,323
2019-06-05,26,Jura,24
2019-06-05,23,Valais,73
2019-06-05,8,Glarus,24
2019-06-05,19,Aargau,754
2019-06-05,4,Uri,1397
2019-06-05,15,Appenzell Ausserrhoden,28
2019-06-05,-1,Other,26
2019-06-06,5,Schwyz,283
2019-06-06,10,Fribourg,58
2019-06-06,24,Neuchâtel,40
2019-06-06,25,Genève,51
2019-06-06,14,Schaffhausen,226
2019-06-06,20,Thurgau,257
2019-06-06,1,Zürich,2128
2019-06-06,6,Obwalden,113
2019-06-06,21,Ticino,87787
2019-06-06,9,Zug,210
2019-06-06,13,Basel-Landschaft,541
2019-06-06,2,Bern,571
2019-06-06,17,St. Gallen,1253
2019-06-06,22,Vaud,109
2019-06-06,12,Basel-Stadt,1062
2019-06-06,7,Nidwalden,176
2019-06-06,3,Luzern,1260
2019-06-06,18,Graubünden,1414
2019-06-06,11,Solothurn,276
2019-06-06,26,Jura,25
2019-06-06,23,Valais,83
2019-06-06,8,Glarus,24
2019-06-06,19,Aargau,880
2019-06-06,4,Uri,1253
2019-06-06,15,Appenzell Ausserrhoden,43
2019-06-06,-1,Other,28
2019-06-07,5,Schwyz,366
2019-06-07,10,Fribourg,62
2019-06-07,24,Neuchâtel,77
2019-06-07,25,Genève,60
2019-06-07,14,Schaffhausen,323
2019-06-07,20,Thurgau,403
2019-06-07,1,Zürich,2505
2019-06-07,6,Obwalden,158
2019-06-07,21,Ticino,105236
2019-06-07,9,Zug,300
2019-06-07,13,Basel-Landschaft,810
2019-06-07,2,Bern,534
2019-06-07,17,St. Gallen,1679
2019-06-07,22,Vaud,118
2019-06-07,12,Basel-Stadt,1443
2019-06-07,7,Nidwalden,222
2019-06-07,3,Luzern,1539
2019-06-07,18,Graubünden,1753
2019-06-07,16,Appenzell Innerrhoden,24
2019-06-07,11,Solothurn,333
2019-06-07,26,Jura,29
2019-06-07,23,Valais,118
2019-06-07,8,Glarus,29
2019-06-07,19,Aargau,971
2019-06-07,4,Uri,1672
2019-06-07,15,Appenzell Ausserrhoden,32
2019-06-07,-1,Other,14
2019-06-08,5,Schwyz,402
2019-06-08,10,Fribourg,60
2019-06-08,24,Neuchâtel,39
2019-06-08,25,Genève,42
2019-06-08,14,Schaffhausen,340
2019-06-08,20,Thurgau,622
2019-06-08,1,Zürich,2603
2019-06-08,6,Obwalden,118
2019-06-08,21,Ticino,108239
2019-06-08,9,Zug,276
2019-06-08,13,Basel-Landschaft,932
2019-06-08,2,Bern,631
2019-06-08,17,St. Gallen,1837
2019-06-08,22,Vaud,119
2019-06-08,12,Basel-Stadt,1854
2019-06-08,7,Nidwalden,262
2019-06-08,3,Luzern,1418
2019-06-08,18,Graubünden,2390
2019-06-08,16,Appenzell Innerrhoden,22
2019-06-08,11,Solothurn,347
2019-06-08,26,Jura,24
2019-06-08,23,Valais,232
2019-06-08,8,Glarus,31
2019-06-08,19,Aargau,922
2019-06-08,4,Uri,1910
2019-06-08,15,Appenzell Ausserrhoden,88
2019-06-08,-1,Other,13
2019-06-09,5,Schwyz,726
2019-06-09,10,Fribourg,94
2019-06-09,24,Neuchâtel,69
2019-06-09,25,Genève,69
2019-06-09,14,Schaffhausen,445
2019-06-09,20,Thurgau,654
2019-06-09,1,Zürich,3891
2019-06-09,6,Obwalden,173
2019-06-09,21,Ticino,80927
